problem_id,ev_A,ev_B,ev_diff,max_value_A,max_value_B,max_value_diff,min_value_A,min_value_B,n_outcomes_B,has_safe_option_A,has_safe_option_B,ev_max_conflict,higher_ev_option,higher_max_option,feedback,ambiguity,corr,block,bRate,bRate_std,options_A,options_B
1,24.65,21.1,3.55,26.0,23.0,3.0,-1.0,21.0,2,False,False,False,A,A,True,False,0,2,0.6266666666666667,0.3844600418893019,"[[0.95, 26.0], [0.050000000000000044, -1.0]]","[[0.95, 21.0], [0.05, 23.0]]"
5,26.0,24.75,1.25,26.0,71.0,-45.0,26.0,-36.0,6,True,False,True,A,B,False,False,0,1,0.5866666666666667,0.4501851470969101,"[[1.0, 26.0], [0.0, 26.0]]","[[0.25, -36.0], [0.375, 41.0], [0.1875, 43.0], [0.09375, 47.0], [0.046875, 55.0], [0.046875, 71.0]]"
8,27.0,32.5,-5.5,27.0,89.0,-62.0,27.0,-24.0,2,True,False,False,B,B,False,False,0,1,0.4533333333333333,0.4033195589934446,"[[1.0, 27.0], [0.0, 27.0]]","[[0.5, -24.0], [0.5, 89.0]]"
16,6.2,2.6,3.6,35.0,35.5,-0.5,-13.0,-43.0,7,False,False,True,A,B,True,False,0,4,0.6823529411764706,0.4585783658733356,"[[0.4, 35.0], [0.6, -13.0]]","[[0.4, -43.0], [0.01875, 30.5], [0.09375, 31.5], [0.1875, 32.5], [0.1875, 33.5], [0.09375, 34.5], [0.01875, 35.5]]"
20,0.0,-4.5,4.5,0.0,63.0,-63.0,0.0,-27.0,2,True,False,True,A,B,False,False,0,1,0.575,0.443471156521669,"[[1.0, 0.0], [0.0, 0.0]]","[[0.75, -27.0], [0.25, 63.0]]"
23,15.0,13.4,1.6,15.0,39.0,-24.0,15.0,-25.0,2,True,False,True,A,B,True,False,0,5,0.5333333333333333,0.4172740670816047,"[[1.0, 15.0], [0.0, 15.0]]","[[0.4, -25.0], [0.6, 39.0]]"
25,21.0,21.6,-0.6,21.0,100.5,-79.5,21.0,-30.0,5,True,False,False,B,B,False,True,0,1,0.3875000000000001,0.3827531841800928,"[[1.0, 21.0], [0.0, 21.0]]","[[0.6, -30.0], [0.05, 97.5], [0.15000000000000002, 98.5], [0.15000000000000002, 99.5], [0.05, 100.5]]"
26,8.0,7.45,0.55,8.0,54.0,-46.0,8.0,5.0,2,True,False,True,A,B,True,False,0,5,0.6933333333333334,0.3614784456460256,"[[1.0, 8.0], [0.0, 8.0]]","[[0.95, 5.0], [0.05, 54.0]]"
31,-9.9,-14.0,4.1,-8.0,65.5,-73.5,-27.0,-40.0,5,False,False,True,A,B,False,False,1,1,0.5375,0.448516071804196,"[[0.9, -8.0], [0.09999999999999998, -27.0]]","[[0.75, -40.0], [0.03125, 62.5], [0.09375, 63.5], [0.09375, 64.5], [0.03125, 65.5]]"
31,-9.9,-14.0,4.1,-8.0,65.5,-73.5,-27.0,-40.0,5,False,False,True,A,B,True,False,1,2,0.775,0.3924283374069717,"[[0.9, -8.0], [0.09999999999999998, -27.0]]","[[0.75, -40.0], [0.03125, 62.5], [0.09375, 63.5], [0.09375, 64.5], [0.03125, 65.5]]"
32,22.0,22.5,-0.5,22.0,32.0,-10.0,22.0,13.0,2,True,False,False,B,B,True,False,0,5,0.4933333333333334,0.4131182235954578,"[[1.0, 22.0], [0.0, 22.0]]","[[0.5, 13.0], [0.5, 32.0]]"
33,1.0,4.8,-3.8,1.0,72.0,-71.0,1.0,-12.0,2,True,False,False,B,B,True,False,0,2,0.4933333333333334,0.4131182235954578,"[[1.0, 1.0], [0.0, 1.0]]","[[0.8, -12.0], [0.2, 72.0]]"
43,-8.0,-7.8,-0.2,-8.0,1.0,-9.0,-8.0,-43.0,2,False,False,False,B,B,False,False,0,1,0.3625,0.3947573094109004,"[[0.2, -8.0], [0.8, -8.0]]","[[0.19999999999999996, -43.0], [0.8, 1.0]]"
45,2.0,-2.6,4.6,2.0,64.0,-62.0,2.0,-18.0,7,True,False,True,A,B,True,False,0,4,0.5882352941176471,0.4270280332442714,"[[1.0, 2.0], [0.0, 2.0]]","[[0.8, -18.0], [0.1, 64.0], [0.05, 62.0], [0.025, 58.0], [0.0125, 50.0], [0.00625, 34.0], [0.0062499999999999336, 2.0]]"
46,-5.08,-5.75,0.67,-5.0,8.5,-13.5,-13.0,-44.0,5,False,False,True,A,B,True,False,-1,2,0.8,0.3703280399090206,"[[0.99, -5.0], [0.010000000000000009, -13.0]]","[[0.25, -44.0], [0.09375, 5.5], [0.28125, 6.5], [0.28125, 7.5], [0.09375, 8.5]]"
