problem_id,bRate_row1,bRate_row2,bRate_diff,absolute_bRate_diff,feedback_row1,feedback_row2,block_row1,block_row2,ambiguity_row1,ambiguity_row2,corr_row1,corr_row2,n_row1,n_row2,ev_diff,ev_max_conflict,n_outcomes_B
7,0.8666666666666667,0.9625,0.09583333333333333,0.09583333333333333,False,True,1,3,False,False,0,0,15,16,-6.8,False,3
8,0.4533333333333333,0.6125,0.15916666666666673,0.15916666666666673,False,True,1,2,False,False,0,0,15,16,-5.5,False,2
10,0.7733333333333333,0.8533333333333334,0.08000000000000007,0.08000000000000007,False,True,1,4,True,True,0,0,15,15,-1.95,False,2
25,0.3875000000000001,0.6,0.21249999999999986,0.21249999999999986,False,True,1,5,True,True,0,0,16,16,-0.6,False,5
29,0.825,0.7749999999999999,-0.050000000000000044,0.050000000000000044,False,True,1,3,False,False,0,0,16,16,-6.35,False,2
30,0.775,0.8266666666666667,0.05166666666666664,0.05166666666666664,False,True,1,4,False,False,0,0,16,15,-2.75,False,6
31,0.5375,0.775,0.23750000000000004,0.23750000000000004,False,True,1,2,False,False,1,1,16,16,4.1,True,5
36,0.1,0.1375,0.037500000000000006,0.037500000000000006,False,True,1,4,False,False,0,0,16,16,3.3,False,5
37,0.2,0.04,-0.16,0.16,False,True,1,2,False,False,0,0,16,15,9.5,False,3
38,0.54375,0.675,0.1312500000000001,0.1312500000000001,False,True,1,5,False,False,0,0,32,16,-2.8,True,5
42,0.4125,0.275,-0.13749999999999996,0.13749999999999996,False,True,1,5,False,False,0,0,16,16,5.8,True,2
47,0.3,0.2533333333333333,-0.04666666666666669,0.04666666666666669,False,True,1,3,False,False,0,0,16,15,2.4,True,2
49,0.3875,0.4800000000000001,0.09250000000000008,0.09250000000000008,False,True,1,3,False,False,0,0,16,15,0.2,True,2
57,0.7499999999999998,0.4875,-0.2624999999999998,0.2624999999999998,False,True,1,4,False,False,1,1,16,16,-6.3,False,2
58,0.55,0.4666666666666666,-0.08333333333333343,0.08333333333333343,False,True,1,4,False,False,0,0,32,15,-3.0,False,2
61,0.3125,0.12,-0.1925,0.1925,False,True,1,4,True,True,0,0,16,15,4.25,False,2
65,0.2250000000000001,0.1466666666666666,-0.07833333333333348,0.07833333333333348,False,True,1,3,False,False,0,0,16,15,5.4,True,2
67,0.3250000000000001,0.3733333333333333,0.04833333333333317,0.04833333333333317,False,True,1,4,False,False,1,1,16,15,1.15,False,3
69,0.7,0.5466666666666666,-0.15333333333333332,0.15333333333333332,False,True,1,4,False,False,0,0,16,15,0.0,False,1
76,0.65,0.7466666666666666,0.09666666666666657,0.09666666666666657,False,True,1,5,True,True,0,0,16,15,-4.7,False,5
79,0.1875,0.125,-0.0625,0.0625,False,True,1,5,True,True,0,0,16,16,1.43,False,2
92,0.7,0.6933333333333334,-0.006666666666666599,0.006666666666666599,False,True,1,4,False,False,0,0,16,15,-2.0,False,2
94,0.55,0.5749999999999998,0.0249999999999998,0.0249999999999998,False,True,1,5,True,True,0,0,16,16,0.6,True,7
97,0.225,0.5733333333333334,0.3483333333333334,0.3483333333333334,False,True,1,3,False,False,0,0,16,15,4.5,False,7
108,0.4875,0.3733333333333333,-0.1141666666666667,0.1141666666666667,False,True,1,4,False,False,-1,-1,16,15,0.4,False,2
110,0.6625000000000001,0.8266666666666667,0.16416666666666657,0.16416666666666657,False,True,1,2,False,False,0,0,16,15,-5.65,True,6
113,0.425,0.1529411764705882,-0.2720588235294118,0.2720588235294118,False,True,1,3,True,True,0,0,16,17,9.2,False,2
114,0.6624999999999999,0.5411764705882353,-0.12132352941176461,0.12132352941176461,False,True,1,2,True,True,0,0,16,17,-0.6,False,4
115,0.325,0.6375000000000001,0.31250000000000006,0.31250000000000006,False,True,1,5,False,False,0,0,16,16,-4.2,False,2
116,0.5333333333333332,0.3375,-0.1958333333333332,0.1958333333333332,False,True,1,4,False,False,0,0,33,16,3.25,True,3
119,0.425,0.5333333333333333,0.10833333333333334,0.10833333333333334,False,True,1,5,False,False,0,0,16,15,-0.2,True,6
120,0.775,0.7066666666666668,-0.06833333333333325,0.06833333333333325,False,True,1,3,False,False,0,0,16,15,-9.8,False,2
121,0.7625000000000001,0.4933333333333334,-0.26916666666666667,0.26916666666666667,False,True,1,5,True,True,0,0,16,15,-7.25,False,2
124,0.3125000000000001,0.4,0.08749999999999991,0.08749999999999991,False,True,1,3,True,True,0,0,16,15,-0.85,True,3
126,0.7374999999999999,0.8933333333333333,0.15583333333333338,0.15583333333333338,False,True,1,5,False,False,0,0,16,15,-2.13,False,9
128,0.575,0.7733333333333334,0.19833333333333347,0.19833333333333347,False,True,1,3,False,False,0,0,16,15,-1.05,False,5
131,0.65,0.7625000000000001,0.11250000000000004,0.11250000000000004,False,True,1,2,False,False,0,0,16,16,0.4,False,2
137,0.6124999999999999,0.45,-0.16249999999999992,0.16249999999999992,False,True,1,2,False,False,0,0,16,16,2.55,True,8
138,0.4,0.24,-0.16000000000000003,0.16000000000000003,False,True,1,5,False,False,0,0,16,15,-0.2,False,4
140,0.4125,0.4875,0.07500000000000001,0.07500000000000001,False,True,1,2,False,False,0,0,16,16,-3.5,False,4
146,0.7875000000000001,0.5599999999999999,-0.22750000000000015,0.22750000000000015,False,True,1,5,False,False,0,0,16,15,3.7,False,4
148,0.4375,0.3866666666666667,-0.050833333333333286,0.050833333333333286,False,True,1,5,False,False,0,0,16,15,-4.5,False,2
161,0.5741935483870969,0.8599999999999999,0.28580645161290297,0.28580645161290297,False,True,1,4,True,True,1,1,31,15,-2.55,False,5
172,0.7,0.7066666666666667,0.00666666666666671,0.00666666666666671,False,True,1,2,False,False,0,0,16,15,-3.0,False,2
182,0.3375000000000001,0.1733333333333333,-0.16416666666666677,0.16416666666666677,False,True,1,5,False,False,1,1,16,15,3.2,False,2
185,0.7250000000000001,0.7466666666666665,0.02166666666666639,0.02166666666666639,False,True,1,5,True,True,0,0,16,15,-7.25,False,5
186,0.5874999999999999,0.64,0.0525000000000001,0.0525000000000001,False,True,1,5,True,True,0,0,16,15,-1.4,True,3
193,0.3058823529411765,0.28,-0.025882352941176467,0.025882352941176467,False,True,1,2,True,True,0,0,17,15,3.0,True,2
197,0.8235294117647058,0.65,-0.17352941176470582,0.17352941176470582,False,True,1,4,True,True,0,0,17,16,2.6,True,5
202,0.8235294117647057,0.55,-0.2735294117647057,0.2735294117647057,False,True,1,4,True,True,1,1,17,16,7.0,True,9
214,0.4625,0.5733333333333334,0.11083333333333334,0.11083333333333334,False,True,1,3,False,False,0,0,16,15,1.95,True,8
