problem_id,feedback,block,ambiguity,corr,n,bRate,bRate_std,ev_A,ev_B,ev_diff,n_outcomes_B,ev_max_conflict
7,False,1,False,0,15,0.8666666666666667,0.3518657752744984,-6.0,0.8,-6.8,3,False
7,True,3,False,0,16,0.9625,0.15,-6.0,0.8,-6.8,3,False
8,False,1,False,0,15,0.4533333333333333,0.4033195589934446,27.0,32.5,-5.5,2,False
8,True,2,False,0,16,0.6125,0.4349329450233295,27.0,32.5,-5.5,2,False
10,False,1,True,0,15,0.7733333333333333,0.4061433010064071,1.0,2.95,-1.95,2,False
10,True,4,True,0,15,0.8533333333333334,0.277402921672395,1.0,2.95,-1.95,2,False
25,False,1,True,0,16,0.3875000000000001,0.3827531841800928,21.0,21.6,-0.6,5,False
25,True,5,True,0,16,0.6,0.3723797345005051,21.0,21.6,-0.6,5,False
29,False,1,False,0,16,0.825,0.2620432534271139,21.0,27.35,-6.35,2,False
29,True,3,False,0,16,0.7749999999999999,0.3991657967979387,21.0,27.35,-6.35,2,False
30,False,1,False,0,16,0.775,0.2720294101747089,2.0,4.75,-2.75,6,False
30,True,4,False,0,15,0.8266666666666667,0.3534860406754147,2.0,4.75,-2.75,6,False
31,False,1,False,1,16,0.5375,0.448516071804196,-9.9,-14.0,4.1,5,True
31,True,2,False,1,16,0.775,0.3924283374069717,-9.9,-14.0,4.1,5,True
36,False,1,False,0,16,0.1,0.2422120283277993,4.3,1.0,3.3,5,False
36,True,4,False,0,16,0.1375,0.2895398648430529,4.3,1.0,3.3,5,False
37,False,1,False,0,16,0.2,0.2921186973360886,27.0,17.5,9.5,3,False
37,True,2,False,0,15,0.04,0.1549193338482966,27.0,17.5,9.5,3,False
38,False,1,False,0,32,0.54375,0.4196292526474047,9.0,11.8,-2.8,5,True
38,True,5,False,0,16,0.675,0.4250490167812021,9.0,11.8,-2.8,5,True
42,False,1,False,0,16,0.4125,0.3304037933599835,-10.0,-15.8,5.8,2,True
42,True,5,False,0,16,0.275,0.3568379650952703,-10.0,-15.8,5.8,2,True
47,False,1,False,0,16,0.3,0.3502380143083653,-1.0,-3.4,2.4,2,True
47,True,3,False,0,15,0.2533333333333333,0.277402921672395,-1.0,-3.4,2.4,2,True
49,False,1,False,0,16,0.3875,0.4224926034855522,30.0,29.8,0.2,2,True
49,True,3,False,0,15,0.4800000000000001,0.3764495792457279,30.0,29.8,0.2,2,True
57,False,1,False,1,16,0.7499999999999998,0.2875181153713043,-3.0,3.3,-6.3,2,False
57,True,4,False,1,16,0.4875,0.3862210075418821,-3.0,3.3,-6.3,2,False
58,False,1,False,0,32,0.55,0.3663243759117004,5.0,8.0,-3.0,2,False
58,True,4,False,0,15,0.4666666666666666,0.4186144947778269,5.0,8.0,-3.0,2,False
61,False,1,True,0,16,0.3125,0.2825479310370779,15.0,10.75,4.25,2,False
61,True,4,True,0,15,0.12,0.2908116719999879,15.0,10.75,4.25,2,False
65,False,1,False,0,16,0.2250000000000001,0.2516611478423583,7.4,2.0,5.4,2,True
65,True,3,False,0,15,0.1466666666666666,0.2559761893688738,7.4,2.0,5.4,2,True
67,False,1,False,1,16,0.3250000000000001,0.3855731664245668,15.35,14.2,1.15,3,False
67,True,4,False,1,15,0.3733333333333333,0.4131182235954578,15.35,14.2,1.15,3,False
69,False,1,False,0,16,0.7,0.3723797345005049,22.0,22.0,0.0,1,False
69,True,4,False,0,15,0.5466666666666666,0.3502380143083653,22.0,22.0,0.0,1,False
76,False,1,True,0,16,0.65,0.3614784456460256,8.8,13.5,-4.7,5,False
76,True,5,True,0,15,0.7466666666666666,0.3159264531651691,8.8,13.5,-4.7,5,False
79,False,1,True,0,16,0.1875,0.2680174123696693,13.0,11.57,1.43,2,False
79,True,5,True,0,16,0.125,0.2816617356570348,13.0,11.57,1.43,2,False
92,False,1,False,0,16,0.7,0.3183289703016886,14.0,16.0,-2.0,2,False
92,True,4,False,0,15,0.6933333333333334,0.3614784456460256,14.0,16.0,-2.0,2,False
94,False,1,True,0,16,0.55,0.409878030638384,6.0,5.4,0.6,7,True
94,True,5,True,0,16,0.5749999999999998,0.3568379650952703,6.0,5.4,0.6,7,True
97,False,1,False,0,16,0.225,0.2816617356570348,-8.75,-13.25,4.5,7,False
97,True,3,False,0,15,0.5733333333333334,0.384460041889302,-8.75,-13.25,4.5,7,False
