trial,mean_ev_consistency,mean_B,n_observations,block
1,0.6448328851325393,0.4672301190933538,26030,1
2,0.6463695735689589,0.469842489435267,26030,1
3,0.6474452554744525,0.47160968113714946,26030,1
4,0.652285824049174,0.46991932385708796,26030,1
5,0.6520553207837111,0.4679984633115636,26030,1
6,0.6602766039185555,0.47483672685363043,26030,2
7,0.676219746446408,0.4836342681521322,26030,2
8,0.6825585862466385,0.48136765270841336,26030,2
9,0.6832500960430272,0.4863618901267768,26030,2
10,0.6814829043411448,0.48989627353054166,26030,2
11,0.6798309642719939,0.4889358432577795,26030,3
12,0.6876680752977334,0.4847099500576258,26030,3
13,0.6862082212831349,0.4878601613522858,26030,3
14,0.685900883595851,0.48593930080676145,26030,3
15,0.6876296580868229,0.488897426046869,26030,3
16,0.6898962735305417,0.48171340760660775,26030,4
17,0.689051094890511,0.4800998847483673,26030,4
18,0.6965808682289666,0.47733384556281216,26030,4
19,0.6937764118325009,0.4784479446792163,26030,4
20,0.6940069150979639,0.47767960046100655,26030,4
21,0.695197848636189,0.47702650787552825,26030,5
22,0.6932001536688437,0.47341529004994237,26030,5
23,0.695197848636189,0.4739531310026892,26030,5
24,0.6973107952362658,0.46968882059162503,26030,5
25,0.69842489435267,0.47164809834805993,26030,5
