dataset,config,model,n_features,eval_method,accuracy,balanced_accuracy,roc_auc,f1
choices13k,EV-only,logistic,2,5fold_cv,0.7511171156212026,0.5,0.6711706125060041,0.0
choices13k,EV-only,gradient_boosting,2,5fold_cv,0.7504785158461201,0.5085308927927527,0.6742073237394235,0.05045383656292836
choices13k,Basic,logistic,9,5fold_cv,0.7537414303648746,0.5188018593257164,0.6461049821353932,0.09349694272252503
choices13k,Basic,gradient_boosting,9,5fold_cv,0.790410587729163,0.6358204930291347,0.8258474579279607,0.43785812974105853
choices13k,Basic+Risk,logistic,19,5fold_cv,0.7543790992731692,0.5409462383388746,0.7056918988470299,0.19023292046054932
choices13k,Basic+Loss,logistic,24,5fold_cv,0.7978582013137802,0.6593552785292227,0.7891070736738062,0.48572154631941744
choices13k,Basic+Dominance,logistic,12,5fold_cv,0.754166836486959,0.5153705432427047,0.6878728535704474,0.07446837757828753
choices13k,Basic+Salience,logistic,18,5fold_cv,0.7448044047610063,0.5160902580331724,0.678106903560828,0.10591311889449324
choices13k,Basic+Similarity,logistic,13,5fold_cv,0.7533864178988072,0.547149326569863,0.7247944255505286,0.21585576852625935
choices13k,Basic+Skewness,logistic,17,5fold_cv,0.7477125835578735,0.5226948354968626,0.6770747751309716,0.1283687605507091
choices13k,Full,logistic,58,5fold_cv,0.8089935568923139,0.6872539903776138,0.8372956117571594,0.5368140378241536
choices13k,Full,gradient_boosting,58,5fold_cv,0.830626397872592,0.7194711826654053,0.8790599305688367,0.5941462515742152
cpc18,EV-only,logistic,2,10fold_cv,0.82421875,0.5,0.7870458135860979,0.0
cpc18,EV-only,gradient_boosting,2,10fold_cv,0.7578125,0.5296471827277515,0.6790416008425487,0.20512820512820512
cpc18,Basic,logistic,9,10fold_cv,0.82421875,0.5174828857293312,0.5837809373354397,0.08163265306122448
cpc18,Basic,gradient_boosting,9,10fold_cv,0.79296875,0.5334913112164297,0.7811479726171668,0.18461538461538463
cpc18,Basic+Risk,logistic,19,10fold_cv,0.81640625,0.5389678778304371,0.6496050552922591,0.17543859649122806
cpc18,Basic+Loss,logistic,24,10fold_cv,0.81640625,0.5389678778304371,0.6796208530805686,0.17543859649122806
cpc18,Basic+Dominance,logistic,12,10fold_cv,0.83203125,0.5309636650868879,0.6803580832016851,0.12244897959183673
cpc18,Basic+Salience,logistic,18,10fold_cv,0.80859375,0.5167456556082148,0.6369668246445498,0.10909090909090909
cpc18,Basic+Similarity,logistic,13,10fold_cv,0.7890625,0.49615587151132173,0.7461822011585045,0.06896551724137931
cpc18,Basic+Skewness,logistic,17,10fold_cv,0.80859375,0.5167456556082148,0.6101105845181676,0.10909090909090909
cpc18,Full,logistic,58,10fold_cv,0.8125,0.6589784096893102,0.8038967877830436,0.4418604651162791
cpc18,Full,gradient_boosting,58,10fold_cv,0.81640625,0.6001579778830963,0.7784096893101633,0.3380281690140845
cross_transfer,EV-only,logistic,2,train_c13k_test_cpc18,0.82421875,0.5,0.7684570826750922,0.0
cross_transfer,Basic,logistic,9,train_c13k_test_cpc18,0.8046875,0.49689310163243816,0.5784096893101633,0.038461538461538464
cross_transfer,Basic+Risk,logistic,19,train_c13k_test_cpc18,0.80078125,0.5294892048446551,0.6478146392838335,0.16393442622950818
cross_transfer,Basic+Loss,logistic,24,train_c13k_test_cpc18,0.80859375,0.6041600842548709,0.693417588204318,0.3466666666666667
cross_transfer,Basic+Dominance,logistic,12,train_c13k_test_cpc18,0.81640625,0.495260663507109,0.6602422327540811,0.0
cross_transfer,Basic+Salience,logistic,18,train_c13k_test_cpc18,0.78125,0.48267509215376514,0.6233807266982623,0.034482758620689655
cross_transfer,Basic+Similarity,logistic,13,train_c13k_test_cpc18,0.78515625,0.5287519747235387,0.7238546603475514,0.1791044776119403
cross_transfer,Basic+Skewness,logistic,17,train_c13k_test_cpc18,0.8125,0.5278567667193259,0.6096893101632438,0.14285714285714285
cross_transfer,Full,logistic,58,train_c13k_test_cpc18,0.8046875,0.6629805160610848,0.7859926276987889,0.4444444444444444
