game_id,cpc_ev_failure,total_neighbors,failure_neighbors,failure_neighbor_fraction
37,True,22,22,1.0
19,False,5,5,1.0
221,True,23,22,0.9565217391304348
120,False,23,21,0.9130434782608695
263,True,11,10,0.9090909090909091
231,True,18,16,0.8888888888888888
58,True,24,20,0.8333333333333334
20,False,5,4,0.8
119,True,19,15,0.7894736842105263
207,False,19,15,0.7894736842105263
130,True,26,20,0.7692307692307693
141,True,19,14,0.7368421052631579
98,False,15,10,0.6666666666666666
198,False,27,16,0.5925925925925926
86,True,12,7,0.5833333333333334
52,True,14,8,0.5714285714285714
67,False,15,8,0.5333333333333333
148,False,15,8,0.5333333333333333
241,True,6,3,0.5
92,False,14,7,0.5
61,True,14,7,0.5
114,True,18,9,0.5
144,False,19,9,0.47368421052631576
219,False,21,9,0.42857142857142855
210,False,10,4,0.4
76,False,20,8,0.4
224,True,23,9,0.391304347826087
113,False,16,6,0.375
154,False,17,6,0.35294117647058826
206,False,17,6,0.35294117647058826
