dataset,predictor,coefficient,std_error,ci_lower,ci_upper,p_value
choices13k,ev_abs_diff_mean_dominance,5.562267002518891,,,,
choices13k,ev_abs_diff_mean_no_dominance,3.8355860128198445,,,,
choices13k,ev_abs_diff_median_dominance,5.199999999999999,,,,
choices13k,ev_abs_diff_median_no_dominance,3.200000000000003,,,,
choices13k,ev_abs_diff,-0.6060232858839826,0.02070610089115786,-0.6483007828281805,-0.5671311067481594,0.0
choices13k,any_dominance,-1.5116863841530641,0.0830630653476756,-1.6963050769364643,-1.3729202321910703,0.0
choices13k,ev_favored_has_loss,0.5830733877128425,0.016712184228398815,0.549842347943568,0.616157341027175,0.0
choices13k,ambiguity,0.26613489911501953,0.017019705198077512,0.23239674491355072,0.29764708400062984,0.0
CPC18,ev_abs_diff_mean_dominance,4.618703703733333,,,,
CPC18,ev_abs_diff_mean_no_dominance,3.6986416051436364,,,,
CPC18,ev_abs_diff_median_dominance,3.694000000000001,,,,
CPC18,ev_abs_diff_median_no_dominance,2.7545000001,,,,
CPC18,ev_abs_diff,-1.5660584131736355,0.30013336555746756,-2.20185632305157,-1.084364499712094,1.809874425884317e-07
CPC18,any_dominance,-0.9439140504795612,0.08178755304352589,-1.0844460783881167,-0.7613624334293424,0.0
CPC18,ev_favored_has_loss,0.5161298194898345,0.1672289851385979,0.18163900792601276,0.8495685040486366,0.0020261939009758034
CPC18,ambiguity,0.09165076606186097,0.16168665272798963,-0.23208491233683642,0.38484575255074566,0.5708216147597764
