dataset,feature,standardized_coef,abs_coef,rank,group
choices13k,ev_favored_has_loss,1.6219466474681015,1.6219466474681015,1,loss
choices13k,ev_abs_diff,-0.7293034747212311,0.7293034747212311,2,basic
choices13k,B_dominates_A,-0.6695558565915728,0.6695558565915728,3,dominance
choices13k,any_dominance,-0.6441224419852155,0.6441224419852155,4,dominance
choices13k,std_A,0.550770518750083,0.550770518750083,5,risk
choices13k,std_B,0.541706237680263,0.541706237680263,6,risk
choices13k,has_loss_B,-0.5266264768641414,0.5266264768641414,7,loss
choices13k,both_have_loss,-0.5230739149954139,0.5230739149954139,8,loss
choices13k,ev_max_conflict,0.5143752118994067,0.5143752118994067,9,basic
choices13k,any_loss,-0.4677501765258481,0.4677501765258481,10,loss
choices13k,has_loss_A,-0.411514413149852,0.411514413149852,11,loss
choices13k,ambiguity,0.31894961897394813,0.31894961897394813,12,basic
choices13k,variance_A,-0.31534270908505735,0.31534270908505735,13,risk
choices13k,variance_B,-0.30907615770504,0.30907615770504,14,risk
choices13k,ev_diff,0.29027275677397607,0.29027275677397607,15,basic
choices13k,prob_worst_outcome_B,0.23736138585378688,0.23736138585378688,16,salience
choices13k,prob_best_outcome_B,0.2332062466009346,0.2332062466009346,17,salience
choices13k,prob_loss_A,0.17696810443102906,0.17696810443102906,18,loss
choices13k,downside_distance_A,0.1755910931928252,0.1755910931928252,19,skewness
choices13k,range_overlap,-0.17359519598214154,0.17359519598214154,20,similarity
choices13k,A_dominates_B,-0.15890314053302934,0.15890314053302934,21,dominance
choices13k,prob_loss_B,0.15275835401356477,0.15275835401356477,22,loss
choices13k,skewness_B,0.1350903392873185,0.1350903392873185,23,skewness
choices13k,downside_distance_B,0.119606025263681,0.119606025263681,24,skewness
choices13k,feedback,-0.10031439028048889,0.10031439028048889,25,basic
choices13k,has_safe_option_A,-0.09466628540979066,0.09466628540979066,26,basic
choices13k,has_rare_high_gain_B,0.09363680503998327,0.09363680503998327,27,salience
choices13k,max_favored_has_loss,0.08851134399156058,0.08851134399156058,28,loss
choices13k,ev_risk_conflict,-0.08697744531893989,0.08697744531893989,29,risk
choices13k,is_mixed_B,0.07842352648562231,0.07842352648562231,30,loss
choices13k,variance_diff,0.06905893887605973,0.06905893887605973,31,risk
choices13k,expected_loss_diff,0.06233669034358077,0.06233669034358077,32,loss
choices13k,upside_distance_A,-0.061105182849743235,0.061105182849743235,33,skewness
choices13k,total_outcomes,0.060811205526318766,0.060811205526318766,34,similarity
choices13k,n_outcomes_B,0.0608112055263179,0.0608112055263179,35,basic
choices13k,min_value_diff,0.059002887292999406,0.059002887292999406,36,basic
choices13k,std_diff,-0.05752636591427705,0.05752636591427705,37,risk
choices13k,salience_conflict,-0.05656109891274143,0.05656109891274143,38,salience
choices13k,is_mixed_A,-0.05583815724981185,0.05583815724981185,39,loss
choices13k,n_shared_values,0.05436015024995083,0.05436015024995083,40,similarity
choices13k,expected_loss_A,0.046231216550546274,0.046231216550546274,41,loss
choices13k,prob_loss_diff,0.03938191122952457,0.03938191122952457,42,loss
choices13k,range_B,0.0345483669418446,0.0345483669418446,43,risk
choices13k,loss_asymmetry,0.033353251076413265,0.033353251076413265,44,loss
choices13k,prob_worst_outcome_A,0.03211637777672721,0.03211637777672721,45,salience
choices13k,expected_loss_B,-0.03041343915118168,0.03041343915118168,46,loss
choices13k,has_rare_loss_A,0.030134306172271825,0.030134306172271825,47,salience
choices13k,range_A,0.0298624382283221,0.0298624382283221,48,risk
choices13k,upside_ratio_diff,0.022706406554774468,0.022706406554774468,49,skewness
choices13k,has_rare_loss_B,0.021424613274424787,0.021424613274424787,50,salience
choices13k,max_value_diff,0.019833094223795332,0.019833094223795332,51,basic
choices13k,upside_ratio_B,-0.018593226255741543,0.018593226255741543,52,skewness
choices13k,upside_distance_B,-0.01828049177822456,0.01828049177822456,53,skewness
choices13k,upside_ratio_A,0.012826611912584544,0.012826611912584544,54,skewness
choices13k,prob_best_outcome_A,0.01145984230279617,0.01145984230279617,55,salience
choices13k,range_diff,-0.008894348380625378,0.008894348380625378,56,risk
choices13k,has_safe_option_B,-0.008469283376337797,0.008469283376337797,57,basic
choices13k,has_rare_high_gain_A,0.006283770815031083,0.006283770815031083,58,salience
cpc18,ev_abs_diff,-2.2990226119360866,2.2990226119360866,1,basic
cpc18,ev_favored_has_loss,0.9500144975951739,0.9500144975951739,2,loss
cpc18,is_mixed_A,0.6984132511552728,0.6984132511552728,3,loss
cpc18,ev_diff,-0.6219523275300947,0.6219523275300947,4,basic
cpc18,has_rare_high_gain_A,-0.6084904716931041,0.6084904716931041,5,salience
cpc18,is_mixed_B,0.5997815912586654,0.5997815912586654,6,loss
cpc18,has_rare_loss_A,-0.5060006789129148,0.5060006789129148,7,salience
cpc18,B_dominates_A,-0.4968083865376852,0.4968083865376852,8,dominance
cpc18,std_diff,-0.48569611296098386,0.48569611296098386,9,risk
cpc18,any_dominance,-0.4788795580229907,0.4788795580229907,10,dominance
cpc18,has_loss_A,-0.46544856725171585,0.46544856725171585,11,loss
cpc18,both_have_loss,-0.46365908326121635,0.46365908326121635,12,loss
cpc18,prob_loss_A,0.45334933744360845,0.45334933744360845,13,loss
cpc18,prob_worst_outcome_A,-0.4483119858167346,0.4483119858167346,14,salience
cpc18,max_favored_has_loss,-0.42356219608203355,0.42356219608203355,15,loss
cpc18,prob_loss_diff,0.4141005204415047,0.4141005204415047,16,loss
cpc18,has_rare_high_gain_B,-0.40427809286929267,0.40427809286929267,17,salience
cpc18,std_B,0.3995702450456137,0.3995702450456137,18,risk
cpc18,any_loss,-0.38432429529668793,0.38432429529668793,19,loss
cpc18,upside_ratio_B,-0.37325285907462186,0.37325285907462186,20,skewness
cpc18,has_safe_option_A,0.3664421564384034,0.3664421564384034,21,basic
cpc18,upside_ratio_diff,0.36088794142086794,0.36088794142086794,22,skewness
cpc18,salience_conflict,-0.3412558398387473,0.3412558398387473,23,salience
cpc18,has_loss_B,-0.3383884767296327,0.3383884767296327,24,loss
cpc18,ev_risk_conflict,-0.3294079963160768,0.3294079963160768,25,risk
cpc18,variance_A,0.30447609674079396,0.30447609674079396,26,risk
cpc18,has_rare_loss_B,-0.30330367114062945,0.30330367114062945,27,salience
cpc18,ambiguity,0.28977863704189855,0.28977863704189855,28,basic
cpc18,prob_best_outcome_B,-0.2852566654236836,0.2852566654236836,29,salience
cpc18,prob_worst_outcome_B,0.26787621284362073,0.26787621284362073,30,salience
cpc18,std_A,-0.26276237539879327,0.26276237539879327,31,risk
cpc18,variance_B,0.2459917251615817,0.2459917251615817,32,risk
cpc18,upside_distance_A,0.24224655537484346,0.24224655537484346,33,skewness
cpc18,min_value_diff,-0.22436214537004384,0.22436214537004384,34,basic
cpc18,ev_max_conflict,0.22219678517438765,0.22219678517438765,35,basic
cpc18,expected_loss_diff,-0.22001333593051117,0.22001333593051117,36,loss
cpc18,downside_distance_B,-0.21792960813180018,0.21792960813180018,37,skewness
cpc18,expected_loss_A,-0.1915646982471807,0.1915646982471807,38,loss
cpc18,total_outcomes,-0.17899995122890436,0.17899995122890436,39,similarity
cpc18,upside_distance_B,0.146757140701865,0.146757140701865,40,skewness
cpc18,n_shared_values,0.1444285082380692,0.1444285082380692,41,similarity
cpc18,downside_distance_A,-0.1353152884677573,0.1353152884677573,42,skewness
cpc18,range_A,0.1339159365520197,0.1339159365520197,43,risk
cpc18,range_overlap,0.1274296335769907,0.1274296335769907,44,similarity
cpc18,A_dominates_B,-0.11977702552621562,0.11977702552621562,45,dominance
cpc18,has_safe_option_B,0.1069904839028117,0.1069904839028117,46,basic
cpc18,prob_best_outcome_A,-0.10586973966315334,0.10586973966315334,47,salience
cpc18,upside_ratio_A,0.09999731812087116,0.09999731812087116,48,skewness
cpc18,expected_loss_B,0.09811279541390786,0.09811279541390786,49,loss
cpc18,variance_diff,-0.07816979590358118,0.07816979590358118,50,risk
cpc18,skewness_B,0.06185780393682172,0.06185780393682172,51,skewness
cpc18,n_outcomes_B,-0.0598793680808777,0.0598793680808777,52,basic
cpc18,prob_loss_B,0.05312963918552139,0.05312963918552139,53,loss
cpc18,range_B,0.05099412107186775,0.05099412107186775,54,risk
cpc18,max_value_diff,-0.044047981085181896,0.044047981085181896,55,basic
cpc18,range_diff,0.04229779288844246,0.04229779288844246,56,risk
cpc18,loss_asymmetry,0.03117904151938917,0.03117904151938917,57,loss
cpc18,feedback,0.0,0.0,58,basic
